,batch_size,learning_rate,patience,CVmean,CVstd
0,182.0,0.0035043587194597287,4.0,0.02247859852919355,0.016433216537178302
1,292.0,0.006134784430957072,2.0,0.01825263755377382,0.0027043417968674382
2,101.0,0.004132484385969252,2.0,0.01621011290885508,0.002895721365069184
3,353.0,0.0053140476160841495,3.0,0.018254339871928094,0.007249023831300086
4,122.0,0.0035160820403140882,3.0,0.016757928982470183,0.004927477641785905
5,275.0,0.005848054573387632,4.0,0.015482317251153288,0.004256496407091554
6,143.0,0.007751785451478547,3.0,0.016167299844091758,0.0031674828417191437
7,232.0,0.004651721168910203,3.0,0.017871707417815925,0.006589304348640645
8,236.0,0.005519175897259814,3.0,0.018521149358712137,0.00656204983405846
9,523.0,0.0038988018723366854,2.0,0.01932151037850417,0.005524950863829261
10,272.0,0.004404144137107669,3.0,0.017294372387975453,0.0027988446658818236
11,195.0,0.004957491080333784,3.0,0.015568685884354635,0.0034577878895760525
12,297.0,0.006409833861317078,2.0,0.018201291374163705,0.0038168743403493117
13,138.0,0.003301193994499706,4.0,0.01489684526687488,0.0030206514497716132
14,238.0,0.008018265045789822,3.0,0.017472647925559432,0.003360133888283325
15,277.0,0.010215756219168856,2.0,0.020879394529853018,0.0060782060105405164
16,162.0,0.003861512441281486,2.0,0.04919538635648787,0.0932106333183091
17,185.0,0.003071365201151161,4.0,0.016581872853450478,0.0030899982806837306
18,274.0,0.00646585029855096,2.0,0.018775115769449624,0.0027074615436699623
19,303.0,0.006760385893435499,2.0,0.020170653521921482,0.004983024995586943
